"correctedtimestamp","devicetimestamp","fingerprintid","previousfingerprintid","sitedomain","deviceos","devicetype","ipaddress","longitude","latitude","browsertype","screensize","clickedcontent","actiontaken","querystring","searchtimestamp","abandontimestamp","cookiesenabled","currentwebpage","linkdestination","pagetitle","pageaccesstimestamp","sessionid","gigyasessionid","bigdatasessionid","viewpageduration","rating","previouswebpage","likedcontent","shareretweetcontent","followedentity","clickedtimestamp","gigyaid","birthdate","mobilenumber","logintimestamp","logouttimestamp","readarticle","articleauthor","articlepostdate","commentedarticle","readingduration","articlecontentamount","writingeventtimestamp","commentcontent","sessionstarttimestamp","sessionendtimestamp","sessionduration","recoitemcount","recopropertyid","recocontentid","recocategoryid","recotype","isreco","videoplay","videopause","videoseekstart","videoseekend","videoresume","videostop","videoadclick","videoadcomplete","videoadskipped","videoadplay","videoadtime","videobuffer","videotimestamp","videoduration","videoisended","videoispaused","videofullscreen","videoplayerstate","videotitle","videourl","videovolume","videosize","videotype","videoquality","videoconsolidatedbuffertime","videototalbuffertime","videocategoryid","videocontentid","videocurrentposition","videoaderror","audioplay","audiopause","audioresume","audiostop","audiobuffer","audioisended","audioispaused","audioplayerstate","audiovolume","audiotitle","audioartist","audiourl","audiotype","audioformat","audiocodec","audioconsolidatedbuffertime","audiocategoryid","audiocontentid","audiotimestamp","audioduration","buildversionrelease","buildversioncodename","buildversionincremental","operatingsystemname","deviceimei","devicesimserial","applicationname","applicationuniqueid","applicationloadtimestamp","applicationabandontimestamp","previousview","destinationview","mobileapplicationmetatags","currentview","viewaccesstimestamp","connectivitytype","browserversion","mobiledevice","ssoid","osversion","devicename","pagedepth","bigdatacookieid","sourcescript","eventprocessedutctime","partitionid","eventenqueuedutctime"
2018-10-03T16:39:32.0000000,2018-10-03T16:39:32.0000000,"8ac2059da7de6ab830abd95049ac765d","986a1b9a81e2dd5b0bdc81def939eae4","iwant","Windows","PC","221.121.187.210","","","Chrome","1366 x 768","Page Load","load","","","","true","https://www.iwant.ph/","","iWant","2018/10/3 16:39:17","","","f01a06a0-179e-49df-bf7d-7934e2c4ea05","0","","","","","",2018-10-03T16:39:32.0000000,"","","","","","","","","","","","","","2018/10/3 16:39:17","2018/10/3 17:9:32","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 69.0.3497.100","","","Windows 7","","0","b491a20f-0399-41a1-b144-b30dbf0866fd","eventjsott","","",""
2018-10-03T22:02:48.0000000,2018-10-03T22:02:40.0000000,"692d38453c1cc790e18b957533711e81","692d38453c1cc790e18b957533711e81","iwant","Windows","PC","112.204.241.254","","","Firefox","1536 x 864","Page Load","load","","","","true","https://www.iwant.ph/","","iWant","2018/10/3 22:1:14","","","acd9377d-50f4-4384-9914-2983f29447f3","3000","","","","","",2018-10-03T22:02:48.0000000,"","","","","","","","","","","","","","2018/10/3 22:1:14","2018/10/3 22:32:48","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Firefox 62.0","","","Windows 10","","100","5c011e1b-47b0-413e-acb7-4b076962ee32","eventjsott","","",""
2018-10-03T22:03:32.0000000,2018-10-03T22:03:28.0000000,"692d38453c1cc790e18b957533711e81","692d38453c1cc790e18b957533711e81","iwant","Windows","PC","112.204.241.254","","","Firefox","1536 x 864","Page Load","load","","","","true","https://www.iwant.ph/","","iWant","2018/10/3 22:3:32","","","acd9377d-50f4-4384-9914-2983f29447f3","","","https://www.iwant.ph/","","","",2018-10-03T22:03:32.0000000,"","","","","","","","","","","","","","2018/10/3 22:1:14","2018/10/3 22:33:32","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Firefox 62.0","","","Windows 10","","100","5c011e1b-47b0-413e-acb7-4b076962ee32","eventjspage","","",""
2018-10-03T16:37:36.0000000,2018-10-03T16:37:37.0000000,"facd06c7c4d2fe1fe57359853f873201","facd06c7c4d2fe1fe57359853f873201","iwant","Windows","PC","221.121.187.210","","","Chrome","1366 x 768","Page Load","load","","","","true","https://www.iwant.ph/","","iWant","2018/10/3 16:37:23","","","0061c5d1-212b-4dd6-9f6d-fdbd4012ab8f","0","","https://www.iwant.ph/","","","",2018-10-03T16:37:36.0000000,"","","","","","","","","","","","","","2018/10/3 16:37:9","2018/10/3 17:7:23","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 69.0.3497.100","","","Windows 7","","0","e4c6243a-cac4-4286-a9af-b34d53c91d8f","eventjsott","","",""
2018-10-03T21:29:15.0000000,2018-10-03T21:29:18.0000000,"731b581b02f15ca8875f54ac9fbdd62b","731b581b02f15ca8875f54ac9fbdd62b","iwant","Android","MOBILE","180.190.114.248","","","Chrome","412 x 846","Page Load","load","","","","true","https://www.iwant.ph/","","iWant","2018/10/3 21:29:15","","","2d439825-7d8c-487c-9419-0d2b522c75fd","","","https://www.iwant.ph/","","","",2018-10-03T21:29:15.0000000,"","","","","","","","","","","","","","2018/10/3 21:20:25","2018/10/3 21:59:15","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 69.0.3497.100","","","Android 8.0.0","Samsung SM-G960F","100","51ebb9c5-2cd9-4eae-aeb4-15118a34e513","eventjspage","","",""
2018-10-03T18:51:15.0000000,2018-10-03T18:51:15.0000000,"410507ffa68db8e0258ea7a57211590b","410507ffa68db8e0258ea7a57211590b","iwant","Windows","PC","221.121.187.210","","","Chrome","1280 x 1024","Page Load","load","","","","true","https://www.iwant.ph/","","iWant","2018/10/3 18:50:50","","","c6250101-ec01-42b6-9cf7-b7888707b025","0","","","","","",2018-10-03T18:51:15.0000000,"","","","","","","","","","","","","","2018/10/3 18:50:40","2018/10/3 19:21:15","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 69.0.3497.100","","","Windows 8.1","","0","cf7b8e59-9a70-41d2-bacf-a90034e3519e","eventjsott","","",""
2018-10-03T20:01:28.0000000,2018-10-03T20:01:28.0000000,"62f171bb2d72ad3b51ec39198e872d37","62f171bb2d72ad3b51ec39198e872d37","iwant","Windows","PC","104.215.191.114","","","Chrome","1366 x 768","Page Load","load","","","","true","https://www.iwant.ph/","","iWant","2018/10/3 12:0:51","","","71a2f125-ba0b-4fd7-9101-9200af12174e","0","","https://www.iwant.ph/","","","",2018-10-03T12:01:28.0000000,"","","","","","","","","","","","","","2018/10/3 12:0:51","2018/10/3 12:31:28","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 69.0.3497.100","","","Windows 10","","100","11206d9a-3673-45d0-86a7-d202393ebd5d","eventjsott","","",""
2018-10-03T16:37:23.0000000,2018-10-03T16:37:23.0000000,"facd06c7c4d2fe1fe57359853f873201","facd06c7c4d2fe1fe57359853f873201","iwant","Windows","PC","221.121.187.210","","","Chrome","1366 x 768","Page Load","load","","","","true","https://www.iwant.ph/","","iWant","2018/10/3 16:37:23","","","0061c5d1-212b-4dd6-9f6d-fdbd4012ab8f","","","https://www.iwant.ph/","","","",2018-10-03T16:37:23.0000000,"","","","","","","","","","","","","","2018/10/3 16:37:9","2018/10/3 17:7:23","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 69.0.3497.100","","","Windows 7","","100","e4c6243a-cac4-4286-a9af-b34d53c91d8f","eventjspage","","",""
2018-10-03T20:38:14.0000000,2018-10-03T20:41:43.0000000,"410507ffa68db8e0258ea7a57211590b","410507ffa68db8e0258ea7a57211590b","iwant","Windows","PC","221.121.187.210","","","Chrome","1280 x 1024","Page End","abandon","","","2018/10/3 20:38:14","true","https://www.iwant.ph/","","iWant","2018/10/3 19:56:40","","","d39c0522-b696-4a25-8933-54bd7ac1ce29","2494000","","https://www.iwant.ph/","","","",2018-10-03T20:38:14.0000000,"","","","","","","","","","","","","","2018/10/3 18:50:40","2018/10/3 20:27:6","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 69.0.3497.100","","","Windows 8.1","","0","cf7b8e59-9a70-41d2-bacf-a90034e3519e","","","",""
2018-10-03T17:07:13.0000000,2018-10-03T17:07:14.0000000,"731b581b02f15ca8875f54ac9fbdd62b","731b581b02f15ca8875f54ac9fbdd62b","iwant","Android","MOBILE","110.54.190.114","","","Chrome","412 x 846","Page Load","load","","","","true","https://www.iwant.ph/","","iWant","2018/10/3 17:7:6","","","35ddec70-4ca6-46dd-81d1-ea61a0119b3f","0","","https://www.iwant.ph/","","","",2018-10-03T17:07:13.0000000,"","","","","","","","","","","","","","2018/10/3 17:2:57","2018/10/3 17:37:6","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 69.0.3497.100","","","Android 8.0.0","Samsung SM-G960F","0","51ebb9c5-2cd9-4eae-aeb4-15118a34e513","eventjsott","","",""
